date,sku,warehouse_id,on_hand_qty,on_order_qty,stockout_flag
2023-01-01,SKU0001,1,364,0,0
2023-01-02,SKU0001,1,351,0,0
2023-01-03,SKU0001,1,344,0,0
2023-01-04,SKU0001,1,329,0,0
2023-01-05,SKU0001,1,319,0,0
2023-01-06,SKU0001,1,313,0,0
2023-01-07,SKU0001,1,300,0,0
2023-01-08,SKU0001,1,291,0,0
2023-01-09,SKU0001,1,281,0,0
2023-01-10,SKU0001,1,270,0,0
2023-01-11,SKU0001,1,265,0,0
2023-01-12,SKU0001,1,250,0,0
2023-01-13,SKU0001,1,236,0,0
2023-01-14,SKU0001,1,220,0,0
2023-01-15,SKU0001,1,210,0,0
2023-01-16,SKU0001,1,194,0,0
2023-01-17,SKU0001,1,180,0,0
2023-01-18,SKU0001,1,166,322,0
2023-01-19,SKU0001,1,155,322,0
2023-01-20,SKU0001,1,143,322,0
2023-01-21,SKU0001,1,135,322,0
2023-01-22,SKU0001,1,118,322,0
2023-01-23,SKU0001,1,107,322,0
2023-01-24,SKU0001,1,91,322,0
2023-01-25,SKU0001,1,79,322,0
2023-01-26,SKU0001,1,62,322,0
2023-01-27,SKU0001,1,44,322,0
2023-01-28,SKU0001,1,30,322,0
2023-01-29,SKU0001,1,23,322,0
2023-01-30,SKU0001,1,14,322,0
2023-01-31,SKU0001,1,3,322,0
2023-02-01,SKU0001,1,0,322,1
2023-02-02,SKU0001,1,0,322,1
2023-02-03,SKU0001,1,314,0,0
2023-02-04,SKU0001,1,304,0,0
2023-02-05,SKU0001,1,294,0,0
2023-02-06,SKU0001,1,286,0,0
2023-02-07,SKU0001,1,275,0,0
2023-02-08,SKU0001,1,264,0,0
2023-02-09,SKU0001,1,253,0,0
2023-02-10,SKU0001,1,242,0,0
2023-02-11,SKU0001,1,233,0,0
2023-02-12,SKU0001,1,228,0,0
2023-02-13,SKU0001,1,221,0,0
2023-02-14,SKU0001,1,212,0,0
2023-02-15,SKU0001,1,204,0,0
2023-02-16,SKU0001,1,191,0,0
2023-02-17,SKU0001,1,177,0,0
2023-02-18,SKU0001,1,169,322,0
2023-02-19,SKU0001,1,157,322,0
2023-02-20,SKU0001,1,149,322,0
2023-02-21,SKU0001,1,137,322,0
2023-02-22,SKU0001,1,127,322,0
2023-02-23,SKU0001,1,117,322,0
2023-02-24,SKU0001,1,108,322,0
2023-02-25,SKU0001,1,100,322,0
2023-02-26,SKU0001,1,89,322,0
2023-02-27,SKU0001,1,85,322,0
2023-02-28,SKU0001,1,70,322,0
2023-03-01,SKU0001,1,64,322,0
2023-03-02,SKU0001,1,53,322,0
2023-03-03,SKU0001,1,46,322,0
2023-03-04,SKU0001,1,40,322,0
2023-03-05,SKU0001,1,36,322,0
2023-03-06,SKU0001,1,348,0,0
2023-03-07,SKU0001,1,335,0,0
2023-03-08,SKU0001,1,326,0,0
2023-03-09,SKU0001,1,317,0,0
2023-03-10,SKU0001,1,303,0,0
2023-03-11,SKU0001,1,292,0,0
2023-03-12,SKU0001,1,280,0,0
2023-03-13,SKU0001,1,272,0,0
2023-03-14,SKU0001,1,253,0,0
2023-03-15,SKU0001,1,247,0,0
2023-03-16,SKU0001,1,235,0,0
2023-03-17,SKU0001,1,227,0,0
2023-03-18,SKU0001,1,219,0,0
2023-03-19,SKU0001,1,214,0,0
2023-03-20,SKU0001,1,209,0,0
2023-03-21,SKU0001,1,205,0,0
2023-03-22,SKU0001,1,197,0,0
2023-03-23,SKU0001,1,188,0,0
2023-03-24,SKU0001,1,177,0,0
2023-03-25,SKU0001,1,167,322,0
2023-03-26,SKU0001,1,158,322,0
2023-03-27,SKU0001,1,139,322,0
2023-03-28,SKU0001,1,132,322,0
2023-03-29,SKU0001,1,117,322,0
2023-03-30,SKU0001,1,113,322,0
2023-03-31,SKU0001,1,101,322,0
2023-04-01,SKU0001,1,91,322,0
2023-04-02,SKU0001,1,82,322,0
2023-04-03,SKU0001,1,77,322,0
2023-04-04,SKU0001,1,65,322,0
2023-04-05,SKU0001,1,58,322,0
2023-04-06,SKU0001,1,51,322,0
2023-04-07,SKU0001,1,40,322,0
2023-04-08,SKU0001,1,28,322,0
2023-04-09,SKU0001,1,25,322,0
2023-04-10,SKU0001,1,335,0,0
2023-04-11,SKU0001,1,326,0,0
2023-04-12,SKU0001,1,315,0,0
2023-04-13,SKU0001,1,304,0,0
2023-04-14,SKU0001,1,292,0,0
2023-04-15,SKU0001,1,279,0,0
2023-04-16,SKU0001,1,267,0,0
2023-04-17,SKU0001,1,258,0,0
2023-04-18,SKU0001,1,250,0,0
2023-04-19,SKU0001,1,240,0,0
2023-04-20,SKU0001,1,232,0,0
2023-04-21,SKU0001,1,215,0,0
2023-04-22,SKU0001,1,209,0,0
2023-04-23,SKU0001,1,201,0,0
2023-04-24,SKU0001,1,190,0,0
2023-04-25,SKU0001,1,176,0,0
2023-04-26,SKU0001,1,170,322,0
2023-04-27,SKU0001,1,165,322,0
2023-04-28,SKU0001,1,156,322,0
2023-04-29,SKU0001,1,146,322,0
2023-04-30,SKU0001,1,135,322,0
2023-05-01,SKU0001,1,125,322,0
2023-05-02,SKU0001,1,119,322,0
2023-05-03,SKU0001,1,110,322,0
2023-05-04,SKU0001,1,102,322,0
2023-05-05,SKU0001,1,97,322,0
2023-05-06,SKU0001,1,87,322,0
2023-05-07,SKU0001,1,81,322,0
2023-05-08,SKU0001,1,65,322,0
2023-05-09,SKU0001,1,53,322,0
2023-05-10,SKU0001,1,37,322,0
2023-05-11,SKU0001,1,25,322,0
2023-05-12,SKU0001,1,340,0,0
2023-05-13,SKU0001,1,333,0,0
2023-05-14,SKU0001,1,329,0,0
2023-05-15,SKU0001,1,316,0,0
2023-05-16,SKU0001,1,302,0,0
2023-05-17,SKU0001,1,288,0,0
2023-05-18,SKU0001,1,280,0,0
2023-05-19,SKU0001,1,276,0,0
2023-05-20,SKU0001,1,263,0,0
2023-05-21,SKU0001,1,261,0,0
2023-05-22,SKU0001,1,249,0,0
2023-05-23,SKU0001,1,239,0,0
2023-05-24,SKU0001,1,231,0,0
2023-05-25,SKU0001,1,221,0,0
2023-05-26,SKU0001,1,209,0,0
2023-05-27,SKU0001,1,202,0,0
2023-05-28,SKU0001,1,195,0,0
2023-05-29,SKU0001,1,183,0,0
2023-05-30,SKU0001,1,169,0,0
2023-05-31,SKU0001,1,164,322,0
2023-06-01,SKU0001,1,160,322,0
2023-06-02,SKU0001,1,150,322,0
2023-06-03,SKU0001,1,144,322,0
2023-06-04,SKU0001,1,138,322,0
2023-06-05,SKU0001,1,130,322,0
2023-06-06,SKU0001,1,119,322,0
2023-06-07,SKU0001,1,106,322,0
2023-06-08,SKU0001,1,99,322,0
2023-06-09,SKU0001,1,90,322,0
2023-06-10,SKU0001,1,80,322,0
2023-06-11,SKU0001,1,74,322,0
2023-06-12,SKU0001,1,61,322,0
2023-06-13,SKU0001,1,54,322,0
2023-06-14,SKU0001,1,43,322,0
2023-06-15,SKU0001,1,29,322,0
2023-06-16,SKU0001,1,342,0,0
2023-06-17,SKU0001,1,335,0,0
2023-06-18,SKU0001,1,323,0,0
2023-06-19,SKU0001,1,313,0,0
2023-06-20,SKU0001,1,301,0,0
2023-06-21,SKU0001,1,287,0,0
2023-06-22,SKU0001,1,279,0,0
2023-06-23,SKU0001,1,269,0,0
2023-06-24,SKU0001,1,260,0,0
2023-06-25,SKU0001,1,251,0,0
2023-06-26,SKU0001,1,241,0,0
2023-06-27,SKU0001,1,224,0,0
2023-06-28,SKU0001,1,212,0,0
2023-06-29,SKU0001,1,199,0,0
2023-06-30,SKU0001,1,190,0,0
2023-07-01,SKU0001,1,180,0,0
2023-07-02,SKU0001,1,169,322,0
2023-07-03,SKU0001,1,160,322,0
2023-07-04,SKU0001,1,148,322,0
2023-07-05,SKU0001,1,135,322,0
2023-07-06,SKU0001,1,127,322,0
2023-07-07,SKU0001,1,114,322,0
2023-07-08,SKU0001,1,104,322,0
2023-07-09,SKU0001,1,100,322,0
2023-07-10,SKU0001,1,93,322,0
2023-07-11,SKU0001,1,78,322,0
2023-07-12,SKU0001,1,71,322,0
2023-07-13,SKU0001,1,64,322,0
2023-07-14,SKU0001,1,53,322,0
2023-07-15,SKU0001,1,40,322,0
2023-07-16,SKU0001,1,37,322,0
2023-07-17,SKU0001,1,22,322,0
2023-07-18,SKU0001,1,337,0,0
2023-07-19,SKU0001,1,326,0,0
2023-07-20,SKU0001,1,320,0,0
2023-07-21,SKU0001,1,307,0,0
2023-07-22,SKU0001,1,297,0,0
2023-07-23,SKU0001,1,287,0,0
2023-07-24,SKU0001,1,278,0,0
2023-07-25,SKU0001,1,270,0,0
2023-07-26,SKU0001,1,261,0,0
2023-07-27,SKU0001,1,247,0,0
2023-07-28,SKU0001,1,237,0,0
2023-07-29,SKU0001,1,228,0,0
2023-07-30,SKU0001,1,222,0,0
2023-07-31,SKU0001,1,211,0,0
2023-08-01,SKU0001,1,203,0,0
2023-08-02,SKU0001,1,191,0,0
2023-08-03,SKU0001,1,180,0,0
2023-08-04,SKU0001,1,172,322,0
2023-08-05,SKU0001,1,169,322,0
2023-08-06,SKU0001,1,160,322,0
2023-08-07,SKU0001,1,140,322,0
2023-08-08,SKU0001,1,124,322,0
2023-08-09,SKU0001,1,114,322,0
2023-08-10,SKU0001,1,105,322,0
2023-08-11,SKU0001,1,98,322,0
2023-08-12,SKU0001,1,93,322,0
2023-08-13,SKU0001,1,88,322,0
2023-08-14,SKU0001,1,78,322,0
2023-08-15,SKU0001,1,65,322,0
2023-08-16,SKU0001,1,51,322,0
2023-08-17,SKU0001,1,41,322,0
2023-08-18,SKU0001,1,30,322,0
2023-08-19,SKU0001,1,17,322,0
2023-08-20,SKU0001,1,11,322,0
2023-08-21,SKU0001,1,0,322,1
2023-08-22,SKU0001,1,0,322,1
2023-08-23,SKU0001,1,0,322,1
2023-08-24,SKU0001,1,0,322,1
2023-08-25,SKU0001,1,0,322,1
2023-08-26,SKU0001,1,0,322,1
2023-08-27,SKU0001,1,0,322,1
2023-08-28,SKU0001,1,0,322,1
2023-08-29,SKU0001,1,0,322,1
2023-08-30,SKU0001,1,0,322,1
2023-08-31,SKU0001,1,0,322,1
2023-09-01,SKU0001,1,0,322,1
2023-09-02,SKU0001,1,0,322,1
2023-09-03,SKU0001,1,0,322,1
2023-09-04,SKU0001,1,0,322,1
2023-09-05,SKU0001,1,0,322,1
2023-09-06,SKU0001,1,0,322,1
2023-09-07,SKU0001,1,0,322,1
2023-09-08,SKU0001,1,0,322,1
2023-09-09,SKU0001,1,0,322,1
2023-09-10,SKU0001,1,0,322,1
2023-09-11,SKU0001,1,0,322,1
2023-09-12,SKU0001,1,0,322,1
2023-09-13,SKU0001,1,0,322,1
2023-09-14,SKU0001,1,0,322,1
2023-09-15,SKU0001,1,0,322,1
2023-09-16,SKU0001,1,0,322,1
2023-09-17,SKU0001,1,0,322,1
2023-09-18,SKU0001,1,0,322,1
2023-09-19,SKU0001,1,0,322,1
2023-09-20,SKU0001,1,0,322,1
2023-09-21,SKU0001,1,0,322,1
2023-09-22,SKU0001,1,0,322,1
2023-09-23,SKU0001,1,311,0,0
2023-09-24,SKU0001,1,305,0,0
2023-09-25,SKU0001,1,297,0,0
2023-09-26,SKU0001,1,290,0,0
2023-09-27,SKU0001,1,282,0,0
2023-09-28,SKU0001,1,273,0,0
2023-09-29,SKU0001,1,263,0,0
2023-09-30,SKU0001,1,256,0,0
2023-10-01,SKU0001,1,246,0,0
2023-10-02,SKU0001,1,235,0,0
2023-10-03,SKU0001,1,231,0,0
2023-10-04,SKU0001,1,213,0,0
2023-10-05,SKU0001,1,206,0,0
2023-10-06,SKU0001,1,195,0,0
2023-10-07,SKU0001,1,192,0,0
2023-10-08,SKU0001,1,182,0,0
2023-10-09,SKU0001,1,168,322,0
2023-10-10,SKU0001,1,155,322,0
2023-10-11,SKU0001,1,144,322,0
2023-10-12,SKU0001,1,136,322,0
2023-10-13,SKU0001,1,126,322,0
2023-10-14,SKU0001,1,122,322,0
2023-10-15,SKU0001,1,113,322,0
2023-10-16,SKU0001,1,109,322,0
2023-10-17,SKU0001,1,98,322,0
2023-10-18,SKU0001,1,80,322,0
2023-10-19,SKU0001,1,74,322,0
