date,sku,warehouse_id,category,on_hand_qty,on_order_qty,avg_sales_7d,avg_sales_30d,demand_volatility_30d,days_of_supply,base_lead_time_days,reliability_score,unit_cost,stockout_within_14d
2023-01-31,SKU0001,1,HomeGoods,3,322,12.57,12.03,3.5,0.25,17,0.98,26.47,1
2023-02-07,SKU0001,1,HomeGoods,275,0,7.14,11.27,4.23,24.41,17,0.98,26.47,0
2023-02-14,SKU0001,1,HomeGoods,212,0,9.0,10.67,4.11,19.88,17,0.98,26.47,0
2023-02-21,SKU0001,1,HomeGoods,137,322,10.71,10.1,3.82,13.56,17,0.98,26.47,0
2023-02-28,SKU0001,1,HomeGoods,70,322,9.57,9.17,3.16,7.64,17,0.98,26.47,0
2023-03-07,SKU0001,1,HomeGoods,335,0,8.14,9.37,2.82,35.77,17,0.98,26.47,0
2023-03-14,SKU0001,1,HomeGoods,253,0,11.71,9.9,3.3,25.56,17,0.98,26.47,0
2023-03-21,SKU0001,1,HomeGoods,205,0,6.86,9.13,3.53,22.45,17,0.98,26.47,0
2023-03-28,SKU0001,1,HomeGoods,132,322,10.43,9.3,3.95,14.19,17,0.98,26.47,0
2023-04-04,SKU0001,1,HomeGoods,65,322,9.57,9.77,3.81,6.66,17,0.98,26.47,0
2023-04-11,SKU0001,1,HomeGoods,326,0,8.71,9.2,3.93,35.43,17,0.98,26.47,0
2023-04-18,SKU0001,1,HomeGoods,250,0,10.86,9.53,3.46,26.22,17,0.98,26.47,0
2023-04-25,SKU0001,1,HomeGoods,176,0,10.57,10.13,3.6,17.37,17,0.98,26.47,0
2023-05-02,SKU0001,1,HomeGoods,119,322,8.14,9.5,3.06,12.53,17,0.98,26.47,0
2023-05-09,SKU0001,1,HomeGoods,53,322,9.43,9.8,3.01,5.41,17,0.98,26.47,0
2023-05-16,SKU0001,1,HomeGoods,302,0,10.43,9.57,3.49,31.57,17,0.98,26.47,0
2023-05-23,SKU0001,1,HomeGoods,239,0,9.0,9.47,3.74,25.25,17,0.98,26.47,0
2023-05-30,SKU0001,1,HomeGoods,169,0,10.0,9.6,3.69,17.6,17,0.98,26.47,0
2023-06-06,SKU0001,1,HomeGoods,119,322,7.14,9.47,3.84,12.57,17,0.98,26.47,0
2023-06-13,SKU0001,1,HomeGoods,54,322,9.29,9.17,3.39,5.89,17,0.98,26.47,0
2023-06-20,SKU0001,1,HomeGoods,301,0,10.71,9.4,2.79,32.02,17,0.98,26.47,0
2023-06-27,SKU0001,1,HomeGoods,224,0,11.0,9.77,3.08,22.94,17,0.98,26.47,0
2023-07-04,SKU0001,1,HomeGoods,148,322,10.86,10.4,2.49,14.23,17,0.98,26.47,0
2023-07-11,SKU0001,1,HomeGoods,78,322,10.0,10.6,2.79,7.36,17,0.98,26.47,0
