po_id,sku,warehouse_id,supplier_id,order_date,expected_delivery_date,actual_delivery_date,qty_ordered
1,SKU0001,1,5,2023-01-17,2023-02-03,2023-02-03,322
2,SKU0001,1,5,2023-02-17,2023-03-06,2023-03-06,322
3,SKU0001,1,5,2023-03-24,2023-04-10,2023-04-10,322
4,SKU0001,1,5,2023-04-25,2023-05-12,2023-05-12,322
5,SKU0001,1,5,2023-05-30,2023-06-16,2023-06-16,322
6,SKU0001,1,5,2023-07-01,2023-07-18,2023-07-18,322
7,SKU0001,1,5,2023-08-03,2023-09-23,2023-09-23,322
8,SKU0001,1,5,2023-10-08,2023-10-25,2023-10-25,322
9,SKU0001,1,5,2023-11-10,2023-11-27,2023-11-27,322
10,SKU0001,1,5,2023-12-10,2023-12-27,2023-12-27,322
11,SKU0001,2,5,2023-01-17,2023-02-03,2023-02-03,509
12,SKU0001,2,5,2023-02-21,2023-03-10,2023-03-10,509
13,SKU0001,2,5,2023-04-01,2023-04-18,2023-04-18,509
14,SKU0001,2,5,2023-05-08,2023-05-25,2023-05-25,509
15,SKU0001,2,5,2023-06-15,2023-07-02,2023-07-02,509
16,SKU0001,2,5,2023-07-26,2023-09-15,2023-09-15,509
17,SKU0001,2,5,2023-09-29,2023-10-16,2023-10-16,509
18,SKU0001,2,5,2023-11-03,2023-11-20,2023-11-20,509
19,SKU0001,2,5,2023-11-30,2023-12-17,2023-12-17,509
20,SKU0001,2,5,2023-12-29,2024-01-15,2024-01-15,509
21,SKU0001,3,5,2023-01-12,2023-01-29,2023-01-29,760
22,SKU0001,3,5,2023-02-11,2023-02-28,2023-02-28,760
23,SKU0001,3,5,2023-03-18,2023-04-04,2023-04-04,760
24,SKU0001,3,5,2023-04-21,2023-05-08,2023-05-08,760
25,SKU0001,3,5,2023-05-24,2023-06-10,2023-06-10,760
26,SKU0001,3,5,2023-06-27,2023-07-14,2023-07-14,760
27,SKU0001,3,5,2023-08-01,2023-09-21,2023-09-21,760
28,SKU0001,3,5,2023-10-01,2023-10-18,2023-10-18,760
29,SKU0001,3,5,2023-11-03,2023-11-20,2023-11-20,760
30,SKU0001,3,5,2023-11-29,2023-12-16,2023-12-16,760
31,SKU0001,3,5,2023-12-24,2024-01-10,2024-01-10,760
32,SKU0001,4,5,2023-01-08,2023-01-25,2023-01-25,888
33,SKU0001,4,5,2023-02-01,2023-02-18,2023-02-18,888
34,SKU0001,4,5,2023-03-02,2023-03-19,2023-03-19,888
35,SKU0001,4,5,2023-04-01,2023-04-18,2023-04-18,888
36,SKU0001,4,5,2023-04-30,2023-05-17,2023-05-17,888
37,SKU0001,4,5,2023-05-29,2023-06-15,2023-06-15,888
38,SKU0001,4,5,2023-06-26,2023-07-13,2023-07-13,888
39,SKU0001,4,5,2023-07-26,2023-09-15,2023-09-15,888
40,SKU0001,4,5,2023-09-23,2023-10-10,2023-10-10,888
